206;1;;# tweets;1579
204;1;;;
194;1;;;
193;1;;;
191;1;;;
190;2;;;
189;3;;;
187;5;;;
185;2;;;
184;1;;;
183;2;;;
182;2;;;
181;2;;;
180;1;;;
179;1;;;
178;5;;;
177;2;;;
176;3;;;
175;3;;;
174;3;;;
173;4;;;
172;2;;;
171;2;;;
170;2;;;
169;1;;;
168;5;;;
167;2;;;
166;4;;;
165;3;;;
164;7;;;
163;3;;;
162;1;;;
161;7;;;
160;6;;;
159;5;;;
158;1;;;
157;5;;;
156;7;;;
155;4;;;
154;5;;;
153;7;;;
152;5;;;
151;8;;;
150;10;;;
149;3;;;
148;4;;;
147;8;;;
146;4;;;
145;7;;;
144;6;;;
143;6;;;
142;7;;;
141;3;;;
140;3;;;
139;6;;;
138;4;;;
137;7;;;
136;3;;;
135;3;;;
134;7;;;
133;2;;;
132;7;;;
131;8;;;
130;7;;;
129;9;;;
128;6;;;
127;5;;;
126;5;;;
125;4;;;
124;6;;;
123;4;;;
122;9;;;
121;8;;;
120;6;;;
119;8;;;
118;1;;;
117;5;;;
116;8;;;
115;7;;;
114;2;;;
113;6;;;
112;13;;;
111;5;;;
110;8;;;
109;6;;;
108;4;;;
107;5;;;
106;9;;;
105;5;;;
104;6;;;
103;4;;;
102;3;;;
101;9;;;
100;5;;;
99;7;;;
98;6;;;
97;8;;;
96;7;;;
95;5;;;
94;5;;;
93;8;;;
92;3;;;
91;3;;;
90;4;;;
89;4;;;
88;6;;;
87;5;;;
86;7;;;
85;3;;;
84;3;;;
83;15;;;
82;4;;;
81;6;;;
80;8;;;
79;11;;;
78;3;;;
77;13;;;
76;7;;;
75;9;;;
74;12;;;
73;7;;;
72;10;;;
71;7;;;
70;6;;;
69;7;;;
68;9;;;
67;6;;;
66;4;;;
65;6;;;
64;4;;;
63;6;;;
62;8;;;
61;10;;;
60;7;;;
59;7;;;
58;6;;;
57;9;;;
56;13;;;
55;10;;;
54;7;;;
53;4;;;
52;10;;;
51;8;;;
50;12;;;
49;7;;;
48;9;;;
47;11;;;
46;11;;;
45;9;;;
44;8;;;
43;7;;;
42;14;;;
41;6;;;
40;6;;;
39;6;;;
38;16;;;
37;9;;;
36;11;;;
35;6;;;
34;8;;;
33;12;;;
32;14;;;
31;13;;;
30;12;;;
29;6;;;
28;9;;;
27;11;;;
26;12;;;
25;14;;;
24;12;;;
23;17;;;
22;12;;;
21;13;;;
20;13;;;
19;14;;;
18;11;;;
17;13;;;
16;11;;;
15;15;;;
14;13;;;
13;15;;;
12;22;;;
11;16;;;
10;19;;;
9;20;;;
8;30;;;
7;22;;;
6;27;;;
5;30;;;
4;34;;;
3;36;;;
2;50;;;
1;78;;;
